Familia	Especie	Categoría	Criterios	Fecha_evaluación	Fecha_publicación	Iniciativa	Estado
Bromeliaceae	Puya loca	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya nitida	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya nivalis	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya occidentalis	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya ochroleuca	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya roldanii	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya sanctae-martae	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya santanderensis	CR	B2ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya santosii	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya thomasiana	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya trianae	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya venezuelana	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya vestita	VU	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Racinaea adpressa	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Racinaea contorta	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Racinaea crispa	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Racinaea fraseri	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Racinaea inconspicua	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Racinaea membranacifolia	DD		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Racinaea michelii	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Racinaea multiflora	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Racinaea parviflora	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
